model,accuracy,group_accuracy_0,group_accuracy_1,demographic_parity_difference,equal_opportunity_difference,disparate_impact
Adult_VQC_angle,0.8380934596061707,0.9133001565933228,0.800552487373352,0.18453660607337952,0.05926162004470825,2.718853712081909
Adult_VQC_entangled_3_layer,0.8212640285491943,0.9081350564956665,0.7779005765914917,0.2556152045726776,0.14971578121185303,3.27909517288208
Adult_VQC_entangled_5_layer,0.6691849231719971,0.7470946311950684,0.630294680595398,0.24091359972953796,0.18646985292434692,1.9268932342529297
Adult_VQC_iqp,0.790246307849884,0.8754842281341553,0.7476979494094849,0.21979878842830658,0.03252822160720825,2.3253939151763916
Adult_VQC_dense_angle,0.7705914974212646,0.8911640048027039,0.710405170917511,0.08655959367752075,0.004851549863815308,2.6180667877197266
Adult_VQC_angle,0.8445427417755127,0.9195720553398132,0.8070902228355408,0.1664302945137024,0.07053577899932861,2.911479949951172
Adult_VQC_entangled_3_layer,0.8205270171165466,0.8985427021980286,0.7815837860107422,0.23402728140354156,0.09158790111541748,2.7097866535186768
Adult_VQC_entangled_5_layer,0.7628524303436279,0.8802803754806519,0.7042357325553894,0.012480521574616432,0.0025350823998451233,1.4867397546768188
Adult_VQC_iqp,0.8056630492210388,0.886921226978302,0.7651013135910034,0.18626627326011658,0.08912259340286255,2.5606637001037598
Adult_VQC_dense_angle,0.7305448055267334,0.8136875033378601,0.689042329788208,0.2770451307296753,0.10192602872848511,2.162431478500366
